"DateTime","Price USD","Price BTC","Volume","DateTim","Navigator 5","Navigator 5","Navigator 5"
"2015-12-10 09:38:56",,,,"2015-12-10 09:38:56",417,443070436508,,78358953,71428572
"2015-12-17 09:38:56",,,,"2015-12-17 09:38:56",455,19100768283795,,74016764,85714285
"2015-12-24 09:38:56",,,,"2015-12-24 09:38:56",439,34024091933526,,64143049
"2015-12-31 09:38:56",,,,"2015-12-31 09:38:56",428,86587400793644,,41517849,428571425
"2016-01-07 09:38:56",,,,"2016-01-07 09:38:56",441,6293263232122,,44562250,85714286
"2016-01-14 09:38:56",,,,"2016-01-14 09:38:56",416,4552582628629,,81713184,85714285
"2016-01-21 09:38:56",,,,"2016-01-21 09:38:56",393,7769955647422,,63731521,14285714
"2016-01-28 09:38:56",,,,"2016-01-28 09:38:56",386,06809493079027,,53055696,85714286
"2016-02-04 09:38:56",,,,"2016-02-04 09:38:56",377,49951091795685,,46057050,428571425
"2016-02-11 09:38:56",,,,"2016-02-11 09:38:56",383,45275173090795,,62215762,85714286
"2016-02-18 09:38:56",,,,"2016-02-18 09:38:56",419,3173859126984,,71076825,14285715
"2016-02-25 09:38:56",,,,"2016-02-25 09:38:56",428,191407974877,,72541224,28571428
"2016-03-03 09:38:56",,,,"2016-03-03 09:38:56",422,82383698827186,,86806035,42857143
"2016-03-10 09:38:56",,,,"2016-03-10 09:38:56",414,72492361111125,,79227783,85714285
"2016-03-17 09:38:56",,,,"2016-03-17 09:38:56",415,0507132307735,,76410370,28571428
"2016-03-24 09:38:56",,,,"2016-03-24 09:38:56",417,21379394665104,,55230768,85714286
"2016-03-31 09:38:56",,,,"2016-03-31 09:38:56",419,38903893675763,,57772710,571428575
"2016-04-07 09:38:56",,,,"2016-04-07 09:38:56",421,99530417834376,,53345298,571428575
"2016-04-14 09:38:56",,,,"2016-04-14 09:38:56",426,0818909944224,,53011610,14285714
"2016-04-21 09:38:56",,,,"2016-04-21 09:38:56",440,8113556547618,,55538508,14285714
"2016-04-28 09:38:56",,,,"2016-04-28 09:38:56",454,56127095820835,,68907451,14285715
"2016-05-05 09:38:56",,,,"2016-05-05 09:38:56",451,13934573412706,,55889528,428571425
"2016-05-12 09:38:56",,,,"2016-05-12 09:38:56",455,2393229166667,,49385795,71428572
"2016-05-19 09:38:56",,,,"2016-05-19 09:38:56",448,9987758920373,,64761450,85714286
"2016-05-26 09:38:56",,,,"2016-05-26 09:38:56",469,49196230158725,,94612457,28571428
"2016-06-02 09:38:56",,,,"2016-06-02 09:38:56",549,5283397817462,,99680054,57142857
"2016-06-09 09:38:56",,,,"2016-06-09 09:38:56",588,4334662698412,,85748015,71428572
"2016-06-16 09:38:56",,,,"2016-06-16 09:38:56",723,5305644841267,,227543108,57142857
"2016-06-23 09:38:56",,,,"2016-06-23 09:38:56",665,2102574404762,,207046979,42857143
"2016-06-30 09:38:56",,,,"2016-06-30 09:38:56",660,5230768849204,,126947543,28571428
"2016-07-07 09:38:56",,,,"2016-07-07 09:38:56",659,3125987103175,,148787815,57142857
"2016-07-14 09:38:56",,,,"2016-07-14 09:38:56",660,8534944589626,,90972883,28571428
"2016-07-21 09:38:56",,,,"2016-07-21 09:38:56",664,585265376984,,81356430,71428572
"2016-07-28 09:38:56",,,,"2016-07-28 09:38:56",652,3654326784326,,105766689,42857143
"2016-08-04 09:38:56",,,,"2016-08-04 09:38:56",584,1303298265445,,148447698,7142857
"2016-08-11 09:38:56",,,,"2016-08-11 09:38:56",588,1233977446163,,71686046,71428572
"2016-08-18 09:38:56",,,,"2016-08-18 09:38:56",575,8445176030779,,52231490,14285714
